name,year,oil_prod_mill_sm3,deflator,price,price_l1,price_l2,price_l3,price_l4,price_l5,price_l6,price_l7,price_l8,real_invest_mill_nok_2010,in_place_oil_mill_sm3,recoverable_oil,pdo_approved_date,producing_date,shutdown_date,shutdown,prod_year,cost_index
SLEIPNER ØST,2010,0.0,100.0,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,213.0,0.0,0.2,15.12.1986,24.08.1993,,False,17,278.4
SLEIPNER ØST,2011,0.0,102.06429983160999,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,196.9346777782421,0.0,0.2,15.12.1986,24.08.1993,,False,18,359.6083333333333
SLEIPNER ØST,2012,0.0,103.896811080026,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,390.772340151307,0.0,0.2,15.12.1986,24.08.1993,,False,19,385.175
SLEIPNER ØST,2013,0.0,105.444891271546,103.02775097963944,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,462.8009893274795,0.0,0.2,15.12.1986,24.08.1993,,False,20,384.4666666666667
SLEIPNER ØST,2014,0.051,106.980012591836,92.56246184148432,103.02775097963944,107.46399769735716,109.01379507843096,79.51166666666667,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,0.0,0.0,0.2,15.12.1986,24.08.1993,,False,21,360.5166666666667
SNORRE,1992,1.558,69.7172035266869,27.691634713867,29.35721576845179,35.89012649414018,28.69099290129469,24.412018536780177,31.307848219759503,25.012967587751174,48.7356693355596,52.521661725692255,5106.343656823921,556.0,259.5,27.05.1988,03.08.1992,,False,0,58.69334746885768
SNORRE,1993,6.909,71.37573181386091,23.877163241484837,27.691634713867,29.35721576845179,35.89012649414018,28.69099290129469,24.412018536780177,31.307848219759503,25.012967587751174,48.7356693355596,2119.768108221597,556.0,259.5,27.05.1988,03.08.1992,,False,1,63.99416909620991
SNORRE,1994,9.872,72.89490133610391,21.7310580616529,23.877163241484837,27.691634713867,29.35721576845179,35.89012649414018,28.69099290129469,24.412018536780177,31.307848219759503,25.012967587751174,1170.1778647960389,556.0,259.5,27.05.1988,03.08.1992,,False,2,70.95149748210974
SNORRE,1995,11.374,74.41514845363629,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,29.35721576845179,35.89012649414018,28.69099290129469,24.412018536780177,31.307848219759503,1096.5509267355712,556.0,259.5,27.05.1988,03.08.1992,,False,3,73.86694937715346
SNORRE,1996,11.482,75.7732873818402,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,29.35721576845179,35.89012649414018,28.69099290129469,24.412018536780177,1241.862445874982,556.0,259.5,27.05.1988,03.08.1992,,False,4,70.05035780545985
SNORRE,1997,10.77,77.0706605506334,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,29.35721576845179,35.89012649414018,28.69099290129469,804.4565799363768,556.0,259.5,27.05.1988,03.08.1992,,False,5,83.87225019878079
SNORRE,1998,10.091,77.9069380352619,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,29.35721576845179,35.89012649414018,1603.1948264154382,556.0,259.5,27.05.1988,03.08.1992,,False,6,105.64537503313015
SNORRE,1999,9.399,79.099233099589,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,29.35721576845179,7093.621240215482,556.0,259.5,27.05.1988,03.08.1992,,False,7,115.92896899019348
SNORRE,2000,8.587,80.8989663311122,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,7164.492036001416,556.0,259.5,27.05.1988,03.08.1992,,False,8,100.00833333333333
SNORRE,2001,11.545,82.7426835695228,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,3579.7727028169707,556.0,259.5,27.05.1988,03.08.1992,,False,9,89.14166666666668
SNORRE,2002,12.64,84.0129382587567,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,2669.8268701085585,556.0,259.5,27.05.1988,03.08.1992,,False,10,83.725
